Release Clause Score,4,
Offered Role Equal,-60,
Offered Role Greater,0,
Offered Role Lower ,-125,
Another Club Accepted,-125,
Another Club Pending,-25,
Free Agent Points,0,
,,
Team Overall >=,Score,
83,90,
78,10,
72,0,
70,-10,
66,-15,
1,-30,
,,
League Rank,Score,
0,15,
1,-60,
2,-125,
3,-150,
4,-200,
,,
Current Contract Years,Score,
0,0,
1,-50,
2,-75,
3,-100,
4,-100,
5,-125,
,,
Offered Contract Years,Score,
0,-125,
1,-50,
2,-25,
3,-5,
4,0,
5,20,
,,
Time At Club,Score,
11,-70,
22,-25,
33,-30,
44,-40,
55,-100,
66,-125,
,,
Preferred Position Available,Score,Comment
0,-100,Fallback Case
1,25,Player first preffered position found
2,-117,
3,-125,
4,-125,
